question,document
"After changing WSL2 memory settings, how can I check that the new limit actually applied?",f3dd94f323
What should I try if my GitHub Codespace gets stuck on “Finishing up” and never reconnects?,830f3d2018
"If my Codespace still won’t open after restarting it, is there another way to get back in?",830f3d2018
Why did my setup disappear after a rebuild or after creating a new Codespace?,830f3d2018
"Do files in the repo survive a stop/start, and what gets lost if I delete the Codespace?",830f3d2018
"If Codespaces keeps acting flaky, can I switch to running the course locally instead?",830f3d2018
"Can I skip OpenAI and use another LLM API for the RAG homework, or is the course locked to OpenAI only?",c6ff9083c0
"If my region blocks the provider used in class, what are the easiest alternatives that still work with the course code?",c6ff9083c0
"Do I need to rewrite the code if I want to use Groq, OpenRouter, DeepSeek, or Gemini instead of OpenAI?",c6ff9083c0
Is it possible to run the model locally with Ollama or vLLM and still follow the course notebooks?,c6ff9083c0
Where can I find a list of LLM providers and local model tools that are compatible with the course setup?,c6ff9083c0
How can I keep my notebook from getting 429 errors when it loops over lots of docs?,8e21752415
Is there a way to make OpenAI retry automatically instead of failing on a temporary rate limit?,8e21752415
What’s the best number of workers to use so I don’t hit per-minute request caps?,8e21752415
Should I cache embeddings and LLM outputs so rerunning the notebook doesn’t call the API again?,8e21752415
Can I batch multiple texts in one request or use a cheaper/free model to avoid rate limits during the course?,8e21752415
"In agentic RAG, what do people mean by tools or functions, and are those two terms basically the same thing?",c296ea5a21
Can you give a few examples of the kind of tools a model might call in an agentic RAG setup?,c296ea5a21
When should the model decide to use a tool instead of answering straight from its own context?,c296ea5a21
How is tool use in agentic RAG different from the usual retrieval step in basic RAG?,c296ea5a21
Do I need to worry about the difference between calling a tool and calling a function in this course?,c296ea5a21
Which free LLMs can I use that actually support tools or function calling?,0d74a3616f
"Does Groq have any no-cost models with tool use, like Deepseek R1 or Llama 4?",0d74a3616f
"Besides OpenAI, what other providers work with tool calling in RAG setups?",0d74a3616f
"If I switch from OpenAI to Groq, Mistral, Gemini, or Ollama, do I need to change my code?",0d74a3616f
Where can I read the docs for Groq tool use and see how the schema/response format works?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I try `client.responses.create(...)` with Mistral/Groq/Gemini?,9e7b3f0c25
"Is `response.output` only meant for OpenAI models, or should it work with other LLM providers too?",9e7b3f0c25
What should I use instead of the Responses API if I’m calling a non-OpenAI model in my agent code?,9e7b3f0c25
How do I read the answer from a chat-completions response instead of using `.output`?,9e7b3f0c25
Can I still use the older `chat.completions` interface for the homework if my provider works better with that API?,9e7b3f0c25
"Why do I keep getting the Azure OpenAI 400 error about missing `tools[0].function`, and what should I change in my tool JSON?",b9c7c6bb34
How should I define `get_weather_tool` so Azure OpenAI accepts the function tool properly?,b9c7c6bb34
What’s the correct JSON format for a weather tool in Agentic RAG when using Azure OpenAI?,b9c7c6bb34
I added a tool for weather but Azure says `tools[0].function` is missing — what am I doing wrong?,b9c7c6bb34
Can you show me the exact `get_weather_tool` structure that fixes the invalid_request_error in Azure OpenAI?,b9c7c6bb34
"Why does toyaikit hit a 404 with Groq or another non-OpenAI API, and what class should I use instead?",0224d980b3
How can I wire toyaikit up to Groq using the OpenAI-compatible base URL and chat completions runner?,0224d980b3
What’s the right way to use toyaikit with Anthropic instead of OpenAI?,0224d980b3
"Do I need a special runner for chat.completions in toyaikit, or can I keep using the Responses one?",0224d980b3
"In toyaikit, can I call runner.loop(prompt=...) directly, and what do I get back from it?",0224d980b3
Where do I actually get the Module 1 homework questions?,53f15299b6
Is the homework in the GitHub repo or only on the course platform?,53f15299b6
Can you share the link for the 2026 Module 1 homework instructions?,53f15299b6
Do I need to check GitHub for extra details before submitting the homework?,53f15299b6
Where can I find the cohort materials for the 2026 agentic RAG module?,53f15299b6
Why do I get an empty list back after filtering my query in Homework Q3?,83da208a64
Could this be caused by a problem with how I indexed the data before running the filters?,83da208a64
"Do I need to set the index settings before inserting the documents, or can I do it after?",83da208a64
My query works but the filtered result is empty — what should I check first?,83da208a64
What’s the fix when my homework search returns no results after applying filters?,83da208a64
Why am I getting a 402 from OpenRouter when I call responses.create()?,cfb07a27d5
How do I fix the OpenRouter 402 error in rag_helper.py for module 1 homework?,cfb07a27d5
What should I pass to responses.create so OpenRouter doesn’t reject the request before the model runs?,cfb07a27d5
"In ToyAIKit, where do I set max_output_tokens for the homework Q6 client?",cfb07a27d5
"Is this 402 issue the same as OpenAI’s usual quota 429 error, or is OpenRouter doing something different?",cfb07a27d5
"In the Module 1 homework, what does it mean when people say to point RAG at the chunk index instead of the original docs?",b4300adeb1
"For the homework RAG setup, should I build the search index from the full documents or from the split chunks?",b4300adeb1
"If I already have `documents` and `chunks`, which one should go into `index.fit()` for the homework?",b4300adeb1
Why does the RAG pipeline need to retrieve chunks rather than the full records in Module 1?,b4300adeb1
How do I make sure the prompt only gets the relevant pieces of text and not the whole document?,b4300adeb1
"Do I need to match the multiple-choice homework answers exactly, or just pick the nearest one?",5e4ca64cb5
What should I do if my numeric homework result is close to an option but not exactly the same?,5e4ca64cb5
Why can homework answers differ a bit from the choices in the notebook?,5e4ca64cb5
"If my result is way off from all the options, what should I check first?",5e4ca64cb5
Can dataset version or rounding make homework outputs slightly different from the expected answer?,5e4ca64cb5
I’m confused by the Module 1 homework — should I be looking at the GitHub instructions instead of just the course page?,7d3a2e3505
Where exactly are the Module 1 homework details for the 2026 cohort?,7d3a2e3505
Why does the homework seem different from the lesson even though it’s based on the same topic?,7d3a2e3505
"If I still can’t figure out a homework question, what’s the best way to ask for help in Slack?",7d3a2e3505
"Should I paste screenshots when asking about homework, or is it better to share the code/output as text?",7d3a2e3505
How am I supposed to get token counts for the Module 1 homework if I'm using a different LLM provider?,fe8fed31e6
"If I'm not using OpenAI, where should I look in the response to find the token usage?",fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
What should I do if my provider doesn't give any token usage info in the response?,fe8fed31e6
"For the multiple-choice questions in Module 1, how should I pick the answer if the token count is only approximate?",fe8fed31e6
Why does the homework checker give a 500 or other non-200 error when I submit my repo link?,bcdb8740ce
Do I need to make my GitHub repo public for the submission to work?,bcdb8740ce
Should I remove the .git part from the repo URL before submitting?,bcdb8740ce
How can I check if my homework URL is actually reachable from outside my account?,bcdb8740ce
What are the usual reasons a submitted repo link doesn’t open for the autograder?,bcdb8740ce
"What exactly are embeddings in vector search, and why do we convert text or other non-numerical data into numbers?",69430a79a8
How do embeddings keep the meaning and context of the original data when turning it into numerical form?,69430a79a8
Why should similar inputs produce similar vectors in an embedding model?,69430a79a8
How does the closeness of embedding values help with semantic similarity searches?,69430a79a8
"What is the connection between embeddings, the vector space model, and dimensionality reduction?",69430a79a8
"How can I get rid of the warning about model ""multi-qa-mpnet-base-dot-v1"" being made on sentence-transformers v3.0.0 beta?",aa3f597424
Is there a way to suppress the sentence-transformers warning without changing my code?,aa3f597424
What version of sentence-transformers do I need to install to remove this model warning?,aa3f597424
"Do I need to upgrade sentence-transformers for the ""multi-qa-mpnet-base-dot-v1"" warning, and what should I install?",aa3f597424
What command should I run to stop the warning about this embedding model?,aa3f597424
Why did the lesson use just dot product for cosine similarity instead of normalizing first?,92cd22cada
"Are OpenAI embeddings already unit-length, so dot equals cosine similarity there?",92cd22cada
Why does the homework make us normalize vectors before comparing them?,92cd22cada
"With TF-IDF plus SVD, why can’t I rely on plain dot product like in the lesson?",92cd22cada
What’s the difference between the embeddings in the class example and the homework when it comes to cosine similarity?,92cd22cada
"Should I store embeddings for the question, the answer, or both in vector search?",5c4a8d2e60
"What works better for retrieval: embedding only the text, only the question, or question plus text?",5c4a8d2e60
"Is there a best way to build embeddings for FAQ search, or do I need to test it on my data?",5c4a8d2e60
Why would embedding just the answer still find the right question in vector search?,5c4a8d2e60
"If I combine question and answer before embedding, will that improve hit rate and MRR?",5c4a8d2e60
How does cosine similarity actually measure how close two vectors are?,db78580409
Why is cosine similarity so popular in text analysis and document search?,db78580409
"What does it mean when cosine similarity is 1, 0, or -1?",db78580409
How do you use cosine similarity with word counts or TF-IDF vectors?,db78580409
"Can cosine similarity be used for any vectors, or only non-zero ones?",db78580409
Why does cosine similarity become just a dot product after normalization?,95feb4e75b
"If all embeddings are unit length, why can we use matrix multiplication to get cosine similarity?",95feb4e75b
How does normalizing vectors make cosine similarity ignore magnitude?,95feb4e75b
Why is cosine similarity between a query and documents so easy to compute with a matrix once vectors are normalized?,95feb4e75b
"In vector search, why does unit-length normalization let us compare embeddings using plain dot products?",95feb4e75b
"For Module 2, do I have to make a whole new GitHub repository, or is a fresh Codespace enough?",1e829a8c6f
Why does the course recommend using a separate Codespace for the vector search module instead of reusing the old one?,1e829a8c6f
"If I create a new Codespace for Module 2, will it still come from my existing repo?",1e829a8c6f
"Can I just keep using the Module 1 Codespace for the vector search work, or is that a bad idea because of the dependencies?",1e829a8c6f
"If I delete the Module 2 Codespace later, how do I make sure I don't lose my work?",1e829a8c6f
Why does download.py get stuck at 0% when fetching model.onnx from HuggingFace?,29b69fbe0b
What should I do if the ONNX model download from HuggingFace never starts in download.py?,29b69fbe0b
Is there a workaround for the model.onnx download hanging during the vector search assignment?,29b69fbe0b
Can I manually download model.onnx instead of waiting for download.py to finish?,29b69fbe0b
Why does the script stop at 0% and how do I make it use the local file instead?,29b69fbe0b
"Why do the vector search scores from the dot-product version and the for-loop version not match exactly, even though they should be the same math?",e889793af9
"Is it normal for `np.allclose(scores, scores_loop)` to return `False` when I compare the matrix and loop implementations of vector search?",e889793af9
What causes tiny differences in vector search results between `X.dot(v_query)` and a Python loop over the rows?,e889793af9
Do I need to worry if the optimized BLAS version of vector search gives slightly different numbers than my manual loop?,e889793af9
What's the right way to compare two vector search score arrays when they only differ in the last few decimals?,e889793af9
Why am I getting IndexError: list index out of range when I try to access the best chunk?,1a7b27c4df
Could this error happen because my embeddings count doesn’t match the number of chunks?,1a7b27c4df
What’s the right way to build embeddings so the chunk list and X have the same length?,1a7b27c4df
How do I make sure I’m encoding the chunk contents directly instead of something else?,1a7b27c4df
"If my best-chunk lookup crashes, what should I check first in my vector search code?",1a7b27c4df
Why is my Q2 cosine similarity in Module 2 homework not matching any of the multiple-choice answers?,eaa17a9dc6
"Do I need to use sentence-transformers for the second homework question, or is there another embedder I should use?",eaa17a9dc6
"Could I be getting the wrong cosine score because I'm embedding the wrong field from the docs, like the filename instead of the page text?",eaa17a9dc6
"If I use a different model from the lectures, can that make my similarity result fall outside the listed options?",eaa17a9dc6
My vectors seem a bit off even with the right setup — should I just choose the closest answer in Q2?,eaa17a9dc6
"How do I set up Gemini so Kestra can read it, and why do I need both a normal variable and a SECRET_ one?",3860e5fe8b
What’s the right way to export OpenAI and Tavily API keys before launching Kestra?,3860e5fe8b
"Why does Kestra want the secret values base64-encoded, and where should I put them?",3860e5fe8b
"In a Kestra flow, do I reference the secret name with SECRET_ or without it?",3860e5fe8b
"After changing the API key env vars, do I need to restart the Docker compose stack for Kestra to pick them up?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help with creating Kestra flows, and what should I check first?",04440cab11
"What environment variable does the Copilot actually use for Gemini, and is it the same one the flows use?",04440cab11
"I set a secret key for Gemini in Kestra, but the Copilot still refuses to answer — do I need a different variable name?",04440cab11
How do I properly export the Gemini API key and restart Kestra so the AI Copilot works?,04440cab11
"Could the Copilot refusal be caused by a bad key or quota limit, and how can I tell if that’s the issue?",04440cab11
Why does my Kestra flow say the Gemini key is missing even though I set SECRET_GEMINI_API_KEY?,c8ca21af33
"Could a bad base64 encoding break my API key in Kestra, and how do I avoid that?",c8ca21af33
"Do I need to restart Kestra after exporting a new secret variable, or is it enough to set it in the shell?",c8ca21af33
"When I reference the Gemini secret in a flow, should I use SECRET_GEMINI_API_KEY or just GEMINI_API_KEY?",c8ca21af33
"What’s the cleanest way to load the Gemini and other keys for Kestra, maybe using a .env file?",c8ca21af33
Why can't I just keep doing this stuff in a notebook instead of using Kestra?,193612db63
What does an orchestrator like Kestra actually add beyond running a script once?,193612db63
Why is this module using Kestra for AI workflows instead of just plain Python cells?,193612db63
"How does Kestra help with things like retries, scheduling, and monitoring in an AI pipeline?",193612db63
"Can I switch between OpenAI, Gemini, Anthropic, etc. in Kestra without rewriting the flow?",193612db63
"Do I actually need to use Kestra for the LLM Zoomcamp, or is it optional if I already use Airflow or Prefect?",cce328db64
"For the capstone project, can I skip an orchestrator completely and just have a Python script handle ingestion and indexing?",cce328db64
"If I build my project with a Jupyter notebook instead of a script, does that still count toward the ingestion pipeline requirement?",cce328db64
Why does Module 3 teach Kestra specifically instead of another workflow tool like Dagster or Airflow?,cce328db64
"Can I use Kestra with different AI providers like OpenAI, Gemini, or Anthropic without rewriting my flow?",cce328db64
"Besides Gemini, which AI providers can I plug into Kestra without rewriting my flow?",f442efe5b4
"Can I run Kestra with Groq, Ollama, or even a local model instead of a cloud API?",f442efe5b4
How do I switch Kestra from one AI provider to another — do I need to change the whole workflow?,f442efe5b4
What's the difference between Kestra's generic AI plugin and the provider-specific ones like OpenAI or Gemini?,f442efe5b4
"If a provider is OpenAI-compatible but doesn't have its own Kestra plugin, how do I connect it?",f442efe5b4
"Can I build a Kestra flow without writing YAML at all, and what are the no-code options?",bfe5502c30
"Does Kestra have something like drag-and-drop for creating workflows, or is it only form-based?",bfe5502c30
"How does the AI Copilot help create a workflow in Kestra, and can I keep editing it after the first prompt?",bfe5502c30
Can I generate Kestra flows from my editor with tools like Claude Code or Codex instead of using the web UI?,bfe5502c30
How is Kestra different from Airflow and simpler tools like Zapier or n8n for automations?,bfe5502c30
Why does ChatGPT make up Kestra plugin fields like bucket or name when I ask it for YAML?,93a3e8b98c
How can I tell if the Kestra YAML an AI gave me is using real properties for my version?,93a3e8b98c
What’s the correct way to write a GCS upload task in Kestra instead of using bucket and name?,93a3e8b98c
"In Kestra BigQuery load flows, why is destinationTable used instead of separate projectId, dataset, and table fields?",93a3e8b98c
What’s the safest way to generate Kestra flow YAML without ending up with invalid plugin config?,93a3e8b98c
Why do we keep an eye on token usage in Kestra flows?,a4adc70f41
